Name,EntryPoint,Size(bytes),IsExternal
"_init",0040154c,120,false
"_ftext",004015d0,252,false
"FUN_004016cc",004016cc,1436,false
"FUN_00401c68",00401c68,500,false
"FUN_00401e5c",00401e5c,972,false
"main",00402228,4856,false
"entry",00403520,88,false
"FUN_00403580",00403580,204,false
"FUN_0040364c",0040364c,120,false
"FUN_004036d0",004036d0,196,false
"FUN_00403794",00403794,80,false
"FUN_004037e4",004037e4,140,false
"FUN_00403870",00403870,32,false
"FUN_00403890",00403890,76,false
"FUN_004038dc",004038dc,256,false
"FUN_004039dc",004039dc,168,false
"FUN_00403a84",00403a84,108,false
"FUN_00403af0",00403af0,76,false
"FUN_00403b3c",00403b3c,256,false
"FUN_00403c3c",00403c3c,60,false
"FUN_00403c78",00403c78,148,false
"FUN_00403d0c",00403d0c,140,false
"FUN_00403d98",00403d98,1708,false
"FUN_00404444",00404444,316,false
"FUN_00404580",00404580,524,false
"FUN_0040478c",0040478c,268,false
"FUN_00404898",00404898,140,false
"FUN_00404924",00404924,168,false
"FUN_004049cc",004049cc,56,false
"FUN_00404a04",00404a04,84,false
"FUN_00404a58",00404a58,244,false
"FUN_00404b4c",00404b4c,56,false
"FUN_00404b84",00404b84,56,false
"FUN_00404bbc",00404bbc,1660,false
"FUN_00405238",00405238,176,false
"FUN_004052e8",004052e8,144,false
"FUN_00405378",00405378,104,false
"FUN_004053e0",004053e0,212,false
"FUN_004054b4",004054b4,72,false
"FUN_004054fc",004054fc,72,false
"FUN_00405544",00405544,24,false
"FUN_0040555c",0040555c,176,false
"FUN_0040560c",0040560c,40,false
"FUN_00405634",00405634,244,false
"FUN_00405728",00405728,484,false
"FUN_0040590c",0040590c,128,false
"FUN_0040598c",0040598c,300,false
"FUN_00405ab8",00405ab8,128,false
"FUN_00405b38",00405b38,268,false
"FUN_00405c44",00405c44,276,false
"FUN_00405d58",00405d58,168,false
"FUN_00405e00",00405e00,656,false
"FUN_00406090",00406090,280,false
"FUN_004061a8",004061a8,280,false
"FUN_004062c0",004062c0,572,false
"FUN_004064fc",004064fc,1504,false
"FUN_00406adc",00406adc,1096,false
"FUN_00406f24",00406f24,2820,false
"FUN_00407a28",00407a28,10700,false
"FUN_0040a4c0",0040a4c0,316,false
"match",0040a5fc,180,false
"FUN_0040a6b0",0040a6b0,136,false
"FUN_0040a738",0040a738,208,false
"FUN_0040a808",0040a808,152,false
"FUN_0040a8a0",0040a8a0,152,false
"FUN_0040a938",0040a938,32,false
"tdate_parse",0040a958,1344,false
